id1 id2 k_ibd1 k_ibd2 n predicted_degree most_probable probability
HMB021 HMB154 0.9829 0.0168 24.0 PO PO 1.0
HMB021 HMB156 0.5164 0.2685 46.0 FS FS 1.0
HMB021 HMB521 0.9818 0.0167 22.0 PO PO 1.0
HMB021 HMB1078 0.2759 0.0014 50.0 3rd 3rd 0.859528133498159
HMB021 HMB2925 0.3245 0.0061 62.0 3rd 3rd 0.9892221957619793
HMB021 HMB5093 0.9827 0.0173 22.0 PO PO 1.0
HMB022 HMB050 0.6181 0.0109 46.0 2nd PHS 0.9658518292944717
HMB022 HMB098 0.4715 0.0086 58.0 2nd GPAV 0.991461728869511
HMB022 HMB308 0.5423 0.1822 55.0 FS FS 0.9999999999621523
HMB022 HMB355 0.4653 0.0091 66.0 2nd AV 0.9808430221223999
HMB022 HMB446 0.4873 0.0157 55.0 2nd HS 0.9980570584520562
HMB022 HMB499 0.2761 0.0 51.0 3rd 3rd 0.8580717518066016
HMB022 HMB972 0.4565 0.3685 45.0 FS FS 1.0
HMB022 HMB975 0.5037 0.2404 55.0 FS FS 1.0
HMB022 HMB1028 0.2223 0.0056 47.0 4th 4th 0.7361639003408604
HMB022 HMB1033 0.3326 0.012 57.0 3rd 3rd 0.9935632920525436
HMB022 HMB2274 0.4971 0.0016 55.0 2nd 2nd 0.9996957426347707
HMB022 HMB2925 0.2841 0.0 45.0 3rd 3rd 0.9031830855953509
HMB022 HMB2983 0.2467 0.0 47.0 3rd 3rd 0.5511624708058154
HMB022 HMB2984 0.3388 0.0 42.0 3rd 3rd 0.994366122037624
HMB022 HMB2985 0.3485 0.0 50.0 3rd 3rd 0.9963484261638914
HMB022 HMB3110 0.6059 0.0162 54.0 2nd HS 0.9999723165063575
HMB022 HMB5058 0.2587 0.0 50.0 3rd 3rd 0.7018201812619022
HMB023 HMB067 0.5611 0.0074 48.0 2nd MGP 0.8526128210339282
HMB023 HMB117 0.563 0.0113 72.0 2nd MHS 0.9963915019615406
HMB023 HMB134 0.9828 0.0165 23.0 PO PO 1.0
HMB023 HMB155 0.2656 0.0127 46.0 3rd 3rd 0.8080492134408748
HMB023 HMB154 0.4839 0.0093 38.0 2nd GP 0.9989516938270905
HMB023 HMB156 0.5655 0.0052 57.0 2nd GPAV 0.9999848201819285
HMB023 HMB521 0.5931 0.1781 53.0 FS FS 0.9999999944723895
HMB023 HMB2925 0.1805 0.0032 57.0 4th 4th 0.9654971942664788
HMB023 HMB2966 0.2883 0.0033 51.0 3rd 3rd 0.9251644015492095
HMB023 HMB2967 0.1829 0.0 38.0 4th 4th 0.9628065106139987
HMB023 HMB2975 0.304 0.0013 66.0 3rd 3rd 0.9655485896330966
HMB023 HMB3018 0.2405 0.0 57.0 4th 4th 0.5326486581763072
HMB023 HMB3019 0.186 0.0018 51.0 4th 4th 0.9550520091596224
